standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
BS 5400,4,bs_combination_2_sls_hb,BS 5400 combination 2 SLS (hb),hb,torsion,1735.284217743651,646.92770154485197,76.563198109059385,131,122,144,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_2_sls_ha_hb,BS 5400 combination 2 SLS (ha_hb),ha_hb,moment;shear,1882.7048939033125,668.99309868204591,75.580999550831621,785,657,760,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_3_uls_ha,BS 5400 combination 3 ULS (ha),ha,,1846.1007107519345,519.18479601919648,35.487808375360963,179,35,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_3_uls_hb,BS 5400 combination 3 ULS (hb),hb,torsion,1972.1658895180158,728.51467169933721,84.219517919965327,131,122,144,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_3_uls_ha_hb,BS 5400 combination 3 ULS (ha_hb),ha_hb,moment;shear,2134.3286332936436,752.78660855025055,83.139099505914785,785,657,760,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,4,bs_combination_3_sls_ha,BS 5400 combination 3 SLS (ha),ha,,1503.5205686015479,422.45183681535718,28.39024670028877,179,35,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_3_sls_hb,BS 5400 combination 3 SLS (hb),hb,torsion,1735.284217743651,646.92770154485197,76.563198109059385,131,122,144,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,4,bs_combination_3_sls_ha_hb,BS 5400 combination 3 SLS (ha_hb),ha_hb,moment;shear,1882.7048939033125,668.99309868204591,75.580999550831621,785,657,760,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_1_uls_ha,BS 5400 combination 1 ULS (ha),ha,,1930.5988779816041,562.56644129633901,38.894057000174563,179,137,8,"{""other_superimposed"": 1.2, ""primary_live"": 1.5, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_1_uls_hb,BS 5400 combination 1 ULS (hb),hb,torsion,2209.7662239985539,824.91601196618979,101.47373972394369,135,126,139,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_1_uls_ha_hb,BS 5400 combination 1 ULS (ha_hb),ha_hb,moment;shear,2425.1185479653232,864.06942478001122,95.036886404564584,832,676,734,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_1_sls_ha,BS 5400 combination 1 SLS (ha),ha,,1571.1191023852834,457.15715303707123,31.115245600139648,179,137,8,"{""other_superimposed"": 1.0, ""primary_live"": 1.2, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_1_sls_hb,BS 5400 combination 1 SLS (hb),hb,torsion,1860.8047856910839,695.60654858677606,85.862395151029276,135,126,139,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_1_sls_ha_hb,BS 5400 combination 1 SLS (ha_hb),ha_hb,moment;shear,2043.0259828937351,728.73635942924022,80.415826957708489,832,676,734,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_2_uls_ha,BS 5400 combination 2 ULS (ha),ha,,1737.5230233180034,503.12286774694917,32.411714166812132,179,137,8,"{""other_superimposed"": 1.2, ""primary_live"": 1.25, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_2_uls_hb,BS 5400 combination 2 ULS (hb),hb,torsion,1988.5935356910838,729.68354858677606,85.862395151029276,135,126,139,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_2_uls_ha_hb,BS 5400 combination 2 ULS (ha_hb),ha_hb,moment;shear,2170.8147328937348,762.81335942924022,80.415826957708489,832,676,734,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,5,bs_combination_2_sls_ha,BS 5400 combination 2 SLS (ha),ha,,1416.6584186544028,409.60229419755933,25.929371333449708,179,137,8,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,5,bs_combination_2_sls_hb,BS 5400 combination 2 SLS (hb),hb,torsion,1750.218441537349,647.99031689706908,78.056722864572066,135,126,139,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
